Name,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Abednego,0.001666,0.001595,0.003184,0.001585,0.001603,0.003164,0.001507,0,0.002835,0.00228,0,0.001426,0.000686,0,0.002583,0,0.001253,0.000628,0.000618,0.000615,0.001254,0.000594,0,0,0.001694,0,0,0,0,0.00053,0.000509,0.000522,0.001534,0.000497,0,0.00048,0.000457,0,0.000872,0.00085,0,0,0.001322,0.000434,0,0,0,0.000429,0,0,0.000434,0,0.000432,0.000829,0,0.000415,0,0.000411,0,0,0,0,0,0.000444,0,0.000432,0.000434,0.000438,0.000458,0,0,0,0.000483,0,0.000538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abel,0.042485,0.03668,0.027063,0.061031,0.044878,0.031641,0.032397,0.032136,0.040398,0.028124,0.03697,0.036362,0.039115,0.038206,0.034867,0.042201,0.027573,0.028898,0.03273,0.02831,0.028219,0.026736,0.031691,0.039433,0.02485,0.024726,0.034911,0.033057,0.027659,0.021195,0.020368,0.02192,0.023016,0.023353,0.029539,0.019183,0.020543,0.024949,0.017002,0.020815,0.017918,0.016251,0.017632,0.016073,0.017908,0.0209,0.016115,0.018002,0.015788,0.010877,0.014324,0.016244,0.012963,0.015747,0.012191,0.007461,0.012628,0.011925,0.008661,0.011539,0.009827,0.010179,0.007406,0.007989,0.008576,0.009505,0.007821,0.009631,0.008249,0.005151,0.006408,0.008101,0.003379,0.008532,0.006455,0.004822,0.005325,0.005577,0.004355,0.002935,0.003482,0.002756,0.009339,0.002884,0.004691,0.002778,0.002715,0.002943,0.003766,0.001509,0.00079,0,0,0.000836,0.000868,0.000863,0.001757,0.002605,0.00249,0,0.00087,0,0.000887,0,0,0.001548,0,0,0.000689,0,0.000743,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003025,0,0,0.00601,0.003332,0,0,0,0,0,0,0,0,0.00564,0,0.011841,0,0,0,0,0,0.07516,0.083229,0.046041
Abi,0.000833,0,0,0,0.000801,0.000791,0,0,0,0,0,0.000713,0.000686,0.000659,0,0.000649,0.000627,0,0.001853,0,0.000627,0,0.001174,0,0,0.001124,0,0,0.000542,0.00106,0,0,0,0,0.000484,0,0,0.000454,0,0,0,0,0,0,0.000426,0,0.000424,0,0,0.00087,0,0,0,0,0,0.000415,0.000421,0.000411,0,0.000412,0,0.000407,0,0,0.000429,0,0,0,0,0,0,0,0.000483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004335,0,0,0,0,0,0,0,0,0,0,0.003356,0.003293,0,0.008862,0,0.008911,0,0.009014,0,0.003537,0.007415,0.003903,0.014942,0.006001,0,0,0.011274,0.016919,0.050933,0.017762,0.050603,0.024671,0.034731,0.028393,0,0,0,0
Abid,0,0,0,0,0,0,0,0,0,0,0,0,0.000686,0,0,0,0,0,0,0,0,0,0,0,0,0.000562,0,0,0,0,0,0,0,0,0,0,0,0,0.000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001117,0,0.001251,0.0056,0.002965,0.00532,0.005461,0,0.019954,0.014999,0.003016,0.011943,0.017339,0.036194,0.017385,0.00398,0.014939,0.015661,0.003764,0.006976,0.0232,0.009749,0.003509,0,0,0,0.005908,0.003025,0,0,0,0,0.003537,0.007415,0.015613,0.007471,0,0,0,0,0,0.006367,0,0,0,0.017366,0,0,0,0,0
Abigail,0.026657,0.011163,0.017512,0.014267,0.016829,0.01503,0.012055,0.020926,0.016301,0.021283,0.020703,0.014973,0.018528,0.019103,0.014851,0.020126,0.019426,0.015077,0.020379,0.014771,0.017558,0.018418,0.014085,0.013918,0.015814,0.010677,0.013853,0.01763,0.015185,0.011127,0.010693,0.019832,0.014833,0.008447,0.010653,0.009592,0.012326,0.009979,0.013515,0.013593,0.012372,0.00571,0.008375,0.010426,0.008101,0.009579,0.008906,0.006858,0.011094,0.005221,0.005209,0.011542,0.007778,0.008288,0.011771,0.006632,0.005893,0.006168,0.004949,0.004945,0.005323,0.0057,0.008229,0.006214,0.006432,0.003888,0.007386,0.006566,0.004583,0.003278,0.003661,0.004765,0.005792,0.00237,0.00269,0.002679,0.003195,0.004462,0.002489,0.002935,0.002785,0.002756,0.001648,0.003461,0.00067,0.002778,0.001358,0.000736,0.000753,0.002264,0.00079,0.00082,0,0,0.001736,0,0.000879,0.000868,0.00249,0,0.001741,0.001687,0.000887,0.001704,0.000845,0.000774,0.000748,0.000786,0.000689,0,0.000743,0,0.001698,0.001095,0.001217,0.00126,0.002565,0,0.00122,0.002332,0.001175,0.005446,0.005034,0.003912,0.005073,0.00574,0.007821,0.011488,0.016266,0.0154,0.011859,0.02128,0.014562,0.020281,0.071833,0.042855,0.048254,0.083599,0.138708,0.12668,0.112999,0.111438,0.082166,0.14095,0.116682,0.146495,0.12594,0.149482,0.140341,0.181226,0.181118,0.222036,0.33676,0.341782,0.371283,0.38531,0.504808,0.443156,0.516375,0.441215,0.472306,0.366068,0.504081,0.419011,0.525302,0.698985,0.637266,0.432928,0.402605,0.362655,0.304276,0.234436,0.189286,0.318292,0.01879,0.062422,0.069061
Abigal,0.000833,0.001595,0.001592,0,0,0,0.00226,0.000747,0.001417,0,0.001479,0,0.000686,0.000659,0,0.001298,0,0.000628,0.000618,0,0,0.000594,0.000587,0,0,0,0,0.001102,0.000542,0.00106,0.001018,0,0,0.000994,0.000484,0.000959,0.000457,0,0,0,0.000427,0.000439,0.000882,0.000869,0,0,0,0.001286,0,0.000435,0.000868,0.000427,0,0.000414,0.00042,0,0,0,0,0,0,0,0.000411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006436,0,0,0,0,0,0,0.003537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abner,0.004165,0.00319,0.005572,0.004756,0.004007,0.001582,0.003767,0.005231,0.001417,0.00152,0.002218,0.003565,0.002745,0.002635,0.003874,0.003246,0.002507,0.004397,0.001853,0.005539,0.00439,0.001188,0.003521,0.004639,0.003953,0.003372,0.003325,0.00606,0.003796,0.00212,0.003055,0.001044,0.00358,0.001491,0.001937,0.001439,0.001826,0.002268,0.003488,0.001699,0.00256,0.002196,0.002204,0.002606,0.002558,0.002177,0.000848,0.002572,0,0.00261,0.002604,0.00171,0.000864,0.000414,0.00042,0.001244,0.001684,0.001234,0.000825,0.001648,0.000409,0,0.000823,0.001332,0.001286,0.000864,0.000869,0.001313,0,0.000937,0.001373,0.001906,0.000483,0.000474,0,0,0.001065,0,0.000622,0.000734,0.001393,0,0,0,0,0.001389,0,0,0.001507,0,0,0,0.000773,0,0,0,0,0,0,0,0,0.000844,0,0,0.000845,0,0,0,0,0,0.000743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham,0.234083,0.207322,0.222875,0.204494,0.203555,0.225444,0.206437,0.213741,0.197736,0.196868,0.192242,0.182523,0.196261,0.202229,0.1569,0.16296,0.157917,0.164591,0.154388,0.169245,0.151754,0.156849,0.149651,0.131637,0.15023,0.14161,0.120248,0.133879,0.110093,0.118693,0.122208,0.109598,0.122241,0.11875,0.111376,0.110304,0.11504,0.104784,0.102886,0.100251,0.084043,0.094872,0.082872,0.076889,0.085701,0.079682,0.096693,0.07801,0.084059,0.075701,0.076397,0.073524,0.069999,0.070445,0.075669,0.062176,0.063983,0.06497,0.067636,0.059755,0.061829,0.06555,0.059661,0.067466,0.060461,0.068264,0.053443,0.049029,0.056829,0.046357,0.048057,0.050033,0.048266,0.047877,0.051105,0.041257,0.037275,0.032349,0.036086,0.035219,0.034817,0.03651,0.023074,0.021341,0.021444,0.01806,0.016291,0.011036,0.012806,0.011319,0.009475,0.005742,0.009279,0.008358,0.009546,0.006901,0.003515,0.002605,0.00166,0.002657,0.00087,0.004218,0,0.001704,0.005072,0.00387,0,0.000786,0.002066,0,0,0,0.000849,0,0,0.002521,0.001282,0.001273,0.00366,0.001166,0.0047,0.001089,0,0.000978,0.001015,0.002296,0,0.002298,0,0,0,0,0,0,0,0,0,0.007962,0,0,0,0.00398,0,0.003915,0,0,0,0,0,0,0,0,0,0,0,0.00301,0.00601,0,0.01061,0.003708,0,0.007471,0.006001,0,0,0.005637,0.011279,0,0.005921,0,0,0,0,0,0,0,0
Abram,0.009163,0.005582,0.004776,0.007134,0.006411,0.004746,0.006027,0.005231,0.009214,0.005321,0.002958,0.004278,0.008235,0.001976,0.010331,0.004545,0.00564,0.00691,0.006793,0.003693,0.00439,0.002376,0.002934,0.007539,0.003389,0.005058,0.002771,0.002204,0.003796,0.006888,0.005601,0.002609,0.00358,0.004969,0.002905,0.006714,0.003196,0.001814,0.005667,0.005098,0.008532,0.007467,0.00529,0.003475,0.003837,0.004354,0.008058,0.005144,0.00256,0.003916,0.001736,0.00171,0.001728,0.001658,0.002522,0.003731,0.002947,0.002878,0.003299,0.002061,0.002047,0.002443,0.004937,0.002663,0.000429,0.003888,0.001303,0.003502,0.001833,0.00281,0.000458,0.00143,0.002896,0.001896,0.001614,0.002143,0.003728,0.001673,0,0.002935,0,0.002756,0.002747,0,0,0,0.000679,0.000736,0.000753,0.000755,0,0,0,0,0,0.000863,0,0.000868,0.00166,0.000886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absalom,0.009163,0.00319,0.00796,0.006341,0.008014,0.008701,0.009794,0.011958,0.009214,0.006081,0.009612,0.007843,0.010293,0.013175,0.011622,0.00844,0.008147,0.008795,0.006176,0.004924,0.006898,0.008318,0.009977,0.004059,0.006213,0.006181,0.007204,0.00606,0.006508,0.006888,0.00662,0.006785,0.006138,0.006956,0.004842,0.005755,0.002283,0.004083,0.003488,0.005098,0.004693,0.004392,0.003086,0.00391,0.00469,0.002177,0.004241,0.004715,0.00256,0.00087,0.005209,0.004275,0.005185,0.003729,0.002522,0.002902,0.000842,0.001234,0.002887,0.002061,0.002457,0.003664,0.002057,0.001775,0.003859,0.000864,0.002607,0.001313,0.001375,0.002341,0.000458,0.00143,0.000483,0.000948,0,0,0.001065,0.001115,0.001866,0.001467,0.000696,0,0.000549,0.001154,0,0.001389,0,0.001471,0,0,0,0.00082,0,0,0,0,0,0.000868,0,0,0,0,0.000887,0,0.000845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
